time,temperature,vibration,pressure,rpm,RUL,failure
0,60.50098570069175,0.6756507483616891,4.984330225681707,1518.9247154161337,120,0
1,60.86974553193315,0.7159728439704546,5.23878558012531,1472.2298905505143,118,0
2,58.647067355055256,0.9120940407684893,4.753568488416114,1521.5503667169817,119,0
3,60.464507394322005,0.8915555398150198,5.1260116288794615,1533.8909464701237,120,0
4,61.17395246211861,0.7968647609053778,4.8674355954068895,1494.6610055000258,115,0
5,59.284098522803205,0.8175991074963174,4.801781791934414,1527.9118590777932,114,0
6,63.88934421647424,0.9916497343682638,4.973242410011361,1476.4473981774845,118,0
7,61.53487781839124,0.7112642916746256,4.741189419395156,1453.2246463754104,115,0
8,58.79344590032031,0.8820646071755057,4.861587673663204,1424.1705832513767,110,0
9,62.23464720092292,0.769671102134916,4.700530526852788,1512.8267082230893,112,0
10,59.47441829435002,0.767347819515917,5.491181283229097,1478.3916311473936,108,0
11,63.123817865073754,0.9648165277980786,5.008815887992932,1457.2864190248692,107,0
12,63.72645530617755,0.9238124523482045,4.825068623001854,1469.418838373656,108,0
13,60.70111545504325,0.9220264454000958,5.053494977683555,1409.3966380376291,101,0
14,64.32359644568103,0.9958218210731494,4.971917987577292,1497.2279544986236,100,0
15,62.911419677338365,0.8031505762449139,4.944757600116694,1447.607654256971,103,0
16,64.02393199011439,0.9022929456942447,5.153541675010857,1439.2732253284448,100,0
17,65.80074321558467,0.7534599865109817,5.189376927511827,1464.6199722567533,103,0
18,62.09973279631471,0.8486249528732663,4.867374713097368,1442.9449900382058,99,0
19,61.39714155928575,0.7804785418448473,4.85604543983883,1428.140730260292,96,0
20,60.171352852403366,0.8145493947489078,4.931237075712089,1428.227959636416,104,0
21,61.078045542751575,0.8892735538155371,4.424519708816104,1439.5289459235346,98,0
22,62.57047350441382,0.6772668975149791,4.621202234450362,1474.3925611254217,98,0
23,64.09158451946334,1.113858091352819,5.341718566861132,1442.7213526250732,92,0
24,63.75752512035698,0.6490973927750447,5.411241928375321,1454.385838420733,94,0
25,64.73777052693084,0.6178717080818402,4.937740990110905,1404.9955006529858,95,0
26,63.70762637528917,0.9737166310250103,5.144139240763941,1377.0832770526458,90,0
27,66.141181397435,0.9187494040944404,5.077812538635884,1410.6123071809657,94,0
28,63.19592584224364,0.8936179725578233,5.76972020211381,1402.053402574696,90,0
29,69.17472348935172,0.8942518263896421,5.279893727858644,1427.7711837971744,90,0
30,65.22697467511604,0.7981629840729628,4.968020602129808,1351.6713181348355,88,0
31,61.46608056797658,0.6654118442771253,4.761114889849893,1453.4282064982713,94,0
32,61.863276463154506,0.811370683729059,4.598388419935607,1389.2481636214793,87,0
33,65.48658642884483,0.6984257432731833,5.050865908966806,1368.7508639617554,83,0
34,63.494620087309606,0.9462679600126627,4.810912313678924,1369.5895064061942,88,0
